journal,category,area1_scopus,area1_wos,area2_scopus,area2_wos,area3_scopus,area3_wos
Addict Biol,Neuroscience,Medicine,Biochemistry & Molecular Biology,Psychiatry and Mental Health,Neurosciences & Behavior,Pharmacology,NA
Anim Behav,Biology;Neuroscience,Animal Science and Zoology,Zoology,"Ecology, Evolution, Behavior and Systematics",Animal Sciences,NA,Neurosciences & Behavior
Anim Cogn,Biology;Psychology,"Ecology, Evolution, Behavior and Systematics",Zoology,Experimental and Cognitive Psychology,Animal Sciences,NA,NA
Animals,Biology,General Veterinary,"Agriculture, Dairy & Animal Science | Veterinary Sciences",Animal Science and Zoology,Veterinary Medicine/Animal Health,NA,NA
Behav Brain Res,Neuroscience,Neuroscience (Behavioral Neuroscience),Behavioral Sciences | Neurosciences,NA,Neurosciences & Behavior,NA,NA
Behav Processes,Psychology;Biology;Neuroscience,Agricultural and Biological Sciences (Animal Science and Zoology),Behavioral Sciences | Zoology,Behavioral Neuroscience,"Psychology, Biological",NA,Animal Sciences
Bio Rev,Biology,Agricultural and Biological Sciences (General Agricultural and Biological Sciences),Biology,"Biochemistry, Genetics and Molecular Biology (General Biochemistry, Genetics and Molecular Biology)",Experimental Biology,NA,NA
BRAIN RES REV,Neuroscience,Medicine: Neurology (clinical),NA,Neuroscience: General Neuroscience,NA,NA,NA
Cogn Process,Psychology,Psychology (Experimental and Cognitive Psychology),"Psychology, Experimental",Computer Science (Artificial Intelligence),Psychology,Neuroscience (Cognitive Neuroscience),NA
Develop Cogn Neurosci,Psychology;Neuroscience,Cognitive Neuroscience,Neurosciences,NA,"Psychology, Development",NA,Psychology
Front Aging Neurosci,Neuroscience,Neuroscience (Cognitive Neuroscience),Neurosciences | Geriatrics & Gerontology,"Biochemistry, Genetics and Molecular Biology (Aging)",NA,NA,NA
Intelligence,Psychology;Multidisciplinary,Arts and Humanities,"Psychology, Multidisciplinary",Psychology (Experimental and Cognitive Psychology),Psychology,Psychology (Developmental and Educational Psychology),NA
J Appli Ecol,Biology,NA,Ecology | Biodiversity Conservation,NA,Environment/Ecology,NA,NA
J exp psychol-anim behav processes,Psychology;Biology;Neuroscience,"Agricultural and Biological Sciences (Ecology, Evolution, Behavior and Systematics)",Behavioral Sciences | Psychology | Zoology,Psychology (Experimental and Cognitive Psychology),"Psychology, Biological | Psychology, Experimental	",NA,Neurosciences & Behavior
J Exp Psychol-Anim Learn Cogn,Psychology;Biology;Neuroscience,"Agricultural and Biological Sciences (Ecology, Evolution, Behavior and Systematics)",Behavioral Sciences | Psychology | Zoology,Psychology (Experimental and Cognitive Psychology),"Psychology, Biological | Psychology, Experimental	",NA,Neurosciences & Behavior
J Exp Psychol Gen,Psychology;Biology;Neuroscience,Psychology (Experimental and Cognitive Psychology),"Psychology, Experimental",Neuroscience (Developmental Neuroscience),Psychology,NA,Experimental Biology
J Psychiatr Res,Psychology,Medicine (Psychiatry and Mental Health),Psychiatry,Neuroscience (Biological Psychiatry),Psychiatry,NA,NA
Learn and Behav,Psychology;Biology;Neuroscience,Psychology (Experimental and Cognitive Psychology),Zoology | Behavioral Sciences,Neuroscience (Cognitive Neuroscience),"Psychology, Biological | Psychology, Experimental	",Neuroscience (Behavioral Neuroscience),Neurosciences & Behavior
Neurobiol Stress,Biology;Neuroscience,Neuroscience (Endocrine and Autonomic Systems),Neurosciences,"Biochemistry, Genetics and Molecular Biology (Physiology)",Neurosciences & Behavior,"Biochemistry, Genetics and Molecular Biology (Biochemistry)",Experimental Biology
Neurosci Biobehav Rev,Psychology;Neuroscience,Psychology (Neuropsychology and Physiological Psychology),"Behavioral Sciences, Neuroscience (Cognitive Neuroscience)",Neuroscience (Cognitive Neuroscience),"Neurosciences	",Neuroscience (Behavioral Neuroscience),Neurosciences & Behavior
Philos Trans R Soc Lond,Biology;Multidisciplinary,,Biology,,Multidisciplinary,,Experimental Biology
PLoS ONE,Multidisciplinary,,Multidisciplinary Sciences,,NA,,NA
Proc R Soc B Biol Sci,Biology,,Biology | Ecology | Evolutionary Biology,,Experimental Biology,,NA
Psychol Bull,Psychology;Multidisciplinary,,Psychology,,"Psychology, Multidisciplinary",,Neurosciences & Behavior
Psychon Bull Rev,Psychology,,"Psychology, Experimental | Psychology, Mathematical",,Psychology,,NA
Psykhe,Psychology,NA,NA,NA,NA,NA,NA
Q J Exp Psychol,Psychology,,Physiology | Psychology,,"Psychology, Experimental",,Neurosciences & Behavior
R Soc Open Sci,Multidisciplinary,,Multidisciplinary Sciences,,NA,,NA
Transl Psychiatry,Psychology,,Psychiatry,,"Clinical Psychology & Psychiatry	",,NA
