meta_id,authors_id,primary_id,author,title,journal,year,doi,find,confidence level,note,note_2
MA01,Diao_etal_2023,Aleisa_etal_NeurosciLett_2011,"A.M. Aleisa, K.H. Alzoubi, K.A. Alkadhi",Post-learning REM sleep deprivation impairs long-term memory: reversal by acute nicotine treatment,Neurosci Lett,2011,10.1016/j.neulet.2011.05.025,y,3,table 2,
MA01,Diao_etal_2023,Alhaider_etal_sleep_2010,"I.A. Alhaider, A.M. Aleisa, T.T. Tran, K.H. Alzoubi, K.A. Alkadhi","Chronic caffeine treatment prevents sleep deprivation-induced impairment of cognitive function and synaptic plasticity,",Sleep,2010,10.1093/sleep/33.4.437,y,3,table 2,
MA01,Diao_etal_2023,Alhaider_etal_MolCellNeurosci_2011,"I.A. Alhaider, A.M. Aleisa, T.T. Tran, K.A. Alkadhi",Sleep deprivation prevents stimulation-induced increases of levels of P-CREB and BDNF: protection by caffeine,Mol Cell Neurosci,2011,10.1016/j.mcn.2011.02.006.,y,3,table 2,
MA01,Diao_etal_2023,Alzoubi_etal_BehavBrainRes_2012,"K.H. Alzoubi, O.F. Khabour, B.A. Rashid, I.M. Damaj, H.A. Salah",The neuroprotective effect of vitamin E on chronic sleep deprivation-induced memory impairment: the role of oxidative stress,Behav Brain Res,2012,10.1016/j.bbr.2011.09.017,y,3,table 2,
MA01,Diao_etal_2023,Alzoubi_etal_JMolNeurosci_2013,"K.H. Alzoubi, O.F. Khabour, H.A. Salah, R.B. Abu",The combined effect of sleep deprivation and Western diet on spatial learning and memory: role of BDNF and oxidative stress https://doi.org/10.1007/ s12031-012-9881-7.,J Mol Neurosci,2013,10.1007/s12031-012-9881-7,y,3,table 2,
MA01,Diao_etal_2023,Alzoubi_etal_2015,NA,NA,NA,NA,NA,n,1,table 2,
MA01,Diao_etal_2023,Barbosa_etal_JEthnopharmacol_2019,"C.C. Barbosa, T.C. Rodrigues, C. Ataides, M.L. Santos, P.C. Ghedini, J.W. Dias, M. L. Andersen, R. Mazaro-Costa",Protective effects of hydrocotyle umbellata var. bonariensis Lam. (Araliaceae) on memory in sleep-impaired female mice,J Ethnopharmacol,2019,10.1016/j. jep.2019.112183,y,3,table 2,
MA01,Diao_etal_2023,Bueno_etal_PhysiolBehav_1994,"O.F. Bueno, L.L. Lobo, M.G. Oliveira, E.B. Gugliano, A.C. Pomarico, S. Tufik",Dissociated paradoxical sleep deprivation effects on inhibitory avoidance and conditioned fear,Physiol Behav,1994,10.1016/ 0031-9384(94)90241-0,y,3,table 2,
MA01,Diao_etal_2023,Cao_etal_BrJPharm_2019,"Y. Cao, Q. Li, L. Liu, H. Wu, F. Huang, C. Wang, Y. Lan, F. Zheng, F. Xing, Q. Zhou, Q. Li, H. Shi, B. Zhang, Z. Wang, X. Wu",Modafinil protects hippocampal neurons by suppressing excessive autophagy and apoptosis in mice with sleep deprivation,Br J Pharm,2019,10.1111/bph.14626,y,3,table 2,
MA01,Diao_etal_2023,Dametto_etal_BehavBrainRes_2002,"M. Dametto, D. Suchecki, O.F. Bueno, K.M. Moreira, S. Tufik, M.G. Oliveira",Social stress does not interact with paradoxical sleep deprivation-induced memory impairment,Behav Brain Res,2002,0.1016/s0166-4328(01)00345-x,y,3,table 2,
MA01,Diao_etal_2023,Dubiela_etal_BrainRes_2005,"F.P. Dubiela, M.G. Oliveira, K.M. Moreira, J.N. Nobrega, S. Tufik, D.C. Hipolide",Learning deficits induced by sleep deprivation and recovery are not associated with altered [(3)H]muscimol and [(3)H]flunitrazepam binding,Brain Res,2005,10.1016/j.brainres.2005.01.005.,y,3,table 2,
MA01,Diao_etal_2023,deOliveira_etal_PharmBiochemBehav_2004,"R.A. de Oliveira, G.M. Cunha, K.D. Borges, G.S. de Bruin, S.E. Dos, G.S. Viana, V. M. de Bruin","The effect of venlafaxine on behaviour, body weight and striatal monoamine levels on sleep-deprived female rats, Pharm",Pharm Biochem Behav,2004,10.1016/j.pbb.2004.09.001,y,3,table 2,
MA01,Diao_etal_2023,Ghaheri_etal_IntJDevNeurosci_2022,"S. Ghaheri, H. Panahpour, M. Abdollahzadeh, H. Saadati",Adolescent enriched environment exposure alleviates cognitive impairments in sleep-deprived male rats: Role of hippocampal brain-derived neurotrophic factor,Int J Dev Neurosci,2022,10.1002/jdn.10165,y,3,table 2,
MA01,Diao_etal_2023,Hajali_etal_BehavBrainRes_2012,"V. Hajali, V. Sheibani, S. Esmaeili-Mahani, M. Shabani",Female rats are more susceptible to the deleterious effects of paradoxical sleep deprivation on cognitive performance,Behav Brain Res,2012,10.1016/j. bbr.2011.12.008,y,3,table 2,
